user_id,interface_id,post_id,emoji_chosen,comment,FaceAPI_output
0,1,post_00019,surprise,Wow I hope to be Elon Musk someday as well,"['neutral', 'neutral']"
0,1,post_00023,happy,Yeah thats true,"['neutral', 'neutral']"
0,1,post_00004,surprise,Amazing,"['happy', 'neutral']"
0,1,post_00013,happy,sooooooo cute,"['happy', 'happy']"
0,1,post_00016,sad,"oh no, hope everything fine","['neutral', 'sad']"
0,1,post_00010,love,FIRE!!!!,"['neutral', 'sad']"
0,2,post_00006,😹,the interface is not really helpful,"['neutral', 'happy']"
0,2,post_00001,😆,looking nice,"['neutral', 'neutral']"
0,2,post_00020,😢,whats wrong with this world,"['neutral', 'neutral']"
0,2,post_00014,🎉,wanna be there someday as well!!!,"['neutral', 'happy']"
0,2,post_00015,👀,wow interesting,"['neutral', 'surprised']"
0,2,post_00007,😱,dont you think there are too many people?,"['neutral', 'surprised']"
0,3,post_00009,🫶,good luck for later life!,"['happy', 'sad']"
0,3,post_00012,🤩,he really deserve that!!!!,"['neutral', 'neutral']"
0,3,post_00005,😆,soooooooo funny,"['neutral', 'happy']"
0,3,post_00008,🧐,does he really understand that pipeline??,"['happy', 'neutral']"
1,2,post_00001,😱,Wow so pretty,"['happy', 'surprised']"
1,2,post_00022,👍,yeah it sucks,"['neutral', 'neutral']"
1,2,post_00002,😹,wtf,"['happy', 'happy']"
1,2,post_00023,😢,come on dont be like that,"['neutral', 'neutral']"
1,2,post_00006,😆,creepy,"['neutral', 'happy']"
1,2,post_00009,😤,bye bye cr7,"['happy', 'angry']"
1,1,post_00005,surprise,wth,"['happy', 'neutral']"
1,1,post_00020,sad,screw putin,"['neutral', 'neutral']"
1,1,post_00019,angry,f elon,"['neutral', 'neutral']"
1,1,post_00016,sad,sad vibes,"['happy', 'neutral']"
1,1,post_00013,surprise,awn,"['neutral', 'neutral']"
1,1,post_00014,love,tuts tuts,"['happy', 'happy']"
1,3,post_00007,😲,wow we are doomed,"['happy', 'surprised']"
1,3,post_00010,😡,hooooow,"['happy', 'angry']"
1,3,post_00012,😲,woooooooow bts armyyyyyy,"['surprised', 'surprised']"
1,3,post_00004,😐,confused,"['neutral', 'neutral']"
1,3,post_00015,😮,wooooow so pretty,"['neutral', 'surprised']"
1,3,post_00008,🤨,f elon,"['neutral', 'neutral']"
2,3,post_00004,🧐,I don't agree,"['neutral', 'neutral']"
2,3,post_00012,😲,I didn't know that he had opening ceremony ,"['neutral', 'surprised']"
2,3,post_00013,🥺,Hope your daughter can rest in peace.,"['neutral', 'sad']"
2,3,post_00022,😡,I would be mad if someone does that,"['neutral', 'angry']"
2,3,post_00006,😮,I can't believe there's such animal,"['neutral', 'surprised']"
2,3,post_00007,🥸,It's time for that,"['neutral', 'neutral']"
2,2,post_00002,😮,Run away!,"['neutral', 'neutral']"
2,2,post_00009,😒,I'm not interested,"['neutral', 'angry']"
2,2,post_00020,😢,No war anymore.,"['neutral', 'neutral']"
2,2,post_00019,❗,That's a lot,"['neutral', 'surprised']"
2,2,post_00015,😍,It's a stunning photo!,"['neutral', 'surprised']"
2,2,post_00005,😱,That's freaking mask,"['neutral', 'surprised']"
2,1,post_00016,surprise,Interesting.,"['neutral', 'neutral']"
2,1,post_00023,happy,So relevant,"['neutral', 'neutral']"
2,1,post_00001,surprise,That's beautiful!,"['neutral', 'neutral']"
2,1,post_00008,angry,I don't like Elon buying Twitter.,"['neutral', 'neutral']"
2,1,post_00010,love,Good luck!,"['neutral', 'neutral']"
2,1,post_00014,love,It's nice to see so many fans gather for their idol,"['neutral', 'neutral']"
3,1,post_00005,love,NOthing,"['neutral', 'happy']"
3,1,post_00023,sad,sad,"['happy', 'happy']"
3,1,post_00013,surprise,Terrible,"['neutral', 'neutral']"
